Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Kazmir, Scott",12666667,GOOD,Salary was parsed,2016,MLB,True
"Bruce, Jay",12541667,GOOD,Salary was parsed,2016,MLB,True
"De La Rosa, Jorge",12500000,GOOD,Salary was parsed,2016,MLB,True
"Garza, Matt",12500000,GOOD,Salary was parsed,2016,MLB,True
"Hardy, J.J.",12500000,GOOD,Salary was parsed,2016,MLB,True
"McCarthy, Brandon",12500000,GOOD,Salary was parsed,2016,MLB,True
"Freeman, Freddie",12359375,GOOD,Salary was parsed,2016,MLB,True
"Gonzalez, Gio",12100000,GOOD,Salary was parsed,2016,MLB,True
"Longoria, Evan",12100000,GOOD,Salary was parsed,2016,MLB,True
"Dickey, R.A.",12000000,GOOD,Salary was parsed,2016,MLB,True
"Gordon, Alex",12000000,GOOD,Salary was parsed,2016,MLB,True
"Hill, Aaron",12000000,GOOD,Salary was parsed,2016,MLB,True
"Leake, Mike",12000000,GOOD,Salary was parsed,2016,MLB,True
"Nolasco, Ricky",12000000,GOOD,Salary was parsed,2016,MLB,True
"Abreu, Jose",11666667,GOOD,Salary was parsed,2016,MLB,True
"Butler, Billy",11666667,GOOD,Salary was parsed,2016,MLB,True
"Donaldson, Josh",11650000,GOOD,Salary was parsed,2016,MLB,True
"Estrada, Marco",11500000,GOOD,Salary was parsed,2016,MLB,True
"Garcia, Jaime",11500000,GOOD,Salary was parsed,2016,MLB,True
"Chapman, Aroldis",11325000,GOOD,Salary was parsed,2016,MLB,True
"Castillo, Rusney",11271429,GOOD,Salary was parsed,2016,MLB,True
"Kimbrel, Craig",11250000,GOOD,Salary was parsed,2016,MLB,True
"Pagan, Angel",11250000,GOOD,Salary was parsed,2016,MLB,True
"Iwakuma, Hisashi",11000000,GOOD,Salary was parsed,2016,MLB,True
"Markakis, Nick",11000000,GOOD,Salary was parsed,2016,MLB,True
"Prado, Martin",11000000,GOOD,Salary was parsed,2016,MLB,True
"Robertson, David",11000000,GOOD,Salary was parsed,2016,MLB,True
"Samardzija, Jeff",10800000,GOOD,Salary was parsed,2016,MLB,True
"Arrieta, Jake",10700000,GOOD,Salary was parsed,2016,MLB,True
"Jansen, Kenley",10650000,GOOD,Salary was parsed,2016,MLB,True
"Walker, Neil",10550000,GOOD,Salary was parsed,2016,MLB,True
"Zobrist, Ben",10500000,GOOD,Salary was parsed,2016,MLB,True
"Strasburg, Stephen",10400000,GOOD,Salary was parsed,2016,MLB,True
"Darvish, Yu",10000000,GOOD,Salary was parsed,2016,MLB,True
"Encarnacion, Edwin",10000000,GOOD,Salary was parsed,2016,MLB,True
"Happ, J.A.",10000000,GOOD,Salary was parsed,2016,MLB,True
"Holland, Derek",10000000,GOOD,Salary was parsed,2016,MLB,True
"Kendrick, Howie",10000000,GOOD,Salary was parsed,2016,MLB,True
"Bumgarner, Madison",9950000,GOOD,Salary was parsed,2016,MLB,True
