Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Benoit, Joaquin",7500000,GOOD,Salary was parsed,2016,MLB,False
"Bergman, Christian",507500,GOOD,Salary was parsed,2016,MLB,False
"Bernard, Wynton",507500,GOOD,Salary was parsed,2016,MLB,False
"Berry, Tim",507500,GOOD,Salary was parsed,2016,MLB,False
"Betances, Dellin",507500,GOOD,Salary was parsed,2016,MLB,False
"Bethancourt, Christian",507500,GOOD,Salary was parsed,2016,MLB,False
"Bettis, Chad",507500,GOOD,Salary was parsed,2016,MLB,False
"Betts, Mookie",507500,GOOD,Salary was parsed,2016,MLB,False
"Biagini, Joe",507500,GOOD,Salary was parsed,2016,MLB,False
"Biddle, Jesse",507500,GOOD,Salary was parsed,2016,MLB,False
"Bird, Greg",507500,GOOD,Salary was parsed,2016,MLB,False
"Blach, Ty",507500,GOOD,Salary was parsed,2016,MLB,False
"Black, Ray",507500,GOOD,Salary was parsed,2016,MLB,False
"Blackburn, Clayton",507500,GOOD,Salary was parsed,2016,MLB,False
"Blackmon, Charlie",3500000,GOOD,Salary was parsed,2016,MLB,False
"Blanco, Andres",1450000,GOOD,Salary was parsed,2016,MLB,False
"Blanco, Gregor",3900000,GOOD,Salary was parsed,2016,MLB,False
"Blanton, Joe",4000000,GOOD,Salary was parsed,2016,MLB,False
"Blash, Jabari",507500,GOOD,Salary was parsed,2016,MLB,False
"Blazek, Michael",507500,GOOD,Salary was parsed,2016,MLB,False
"Blevins, Jerry",4000000,GOOD,Salary was parsed,2016,MLB,False
"Bogaerts, Xander",507500,GOOD,Salary was parsed,2016,MLB,False
"Bolsinger, Mike",507500,GOOD,Salary was parsed,2016,MLB,False
"Bonifacio, Emilio",1250000,GOOD,Salary was parsed,2016,MLB,False
"Bonifacio, Jorge",,NONE,No salary value was present,2016,MLB,False
"Bostick, Chris",507500,GOOD,Salary was parsed,2016,MLB,False
"Bour, Justin",507500,GOOD,Salary was parsed,2016,MLB,False
"Bourjos, Peter",2000000,GOOD,Salary was parsed,2016,MLB,False
"Bourn, Michael",14000000,GOOD,Salary was parsed,2016,MLB,True
"Bowman, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Boxberger, Brad",507500,GOOD,Salary was parsed,2016,MLB,False
"Boyd, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Brach, Brad",1250000,GOOD,Salary was parsed,2016,MLB,False
"Bracho, Silvino",507500,GOOD,Salary was parsed,2016,MLB,False
"Bradley, Archie",507500,GOOD,Salary was parsed,2016,MLB,False
"Bradley, Jackie Jr.",507500,GOOD,Salary was parsed,2016,MLB,False
"Brantley, Michael",7375000,GOOD,Salary was parsed,2016,MLB,False
"Brantly, Rob",507500,GOOD,Salary was parsed,2016,MLB,False
"Braun, Ryan",20000000,GOOD,Salary was parsed,2016,MLB,True
"Brennan, Brandon",507500,GOOD,Salary was parsed,2016,MLB,False
"Brentz, Bryce",507500,GOOD,Salary was parsed,2016,MLB,False
"Brett, Ryan",507500,GOOD,Salary was parsed,2016,MLB,False
"Brice, Austin",507500,GOOD,Salary was parsed,2016,MLB,False
"Bridwell, Parker",507500,GOOD,Salary was parsed,2016,MLB,False
"Brito, Socrates",507500,GOOD,Salary was parsed,2016,MLB,False
"Britton, Zach",6750000,GOOD,Salary was parsed,2016,MLB,False
"Broadway, Mike",507500,GOOD,Salary was parsed,2016,MLB,False
"Brooks, Aaron",507500,GOOD,Salary was parsed,2016,MLB,False
"Brothers, Rex",1420000,GOOD,Salary was parsed,2016,MLB,False
"Brown, Brooks",507500,GOOD,Salary was parsed,2016,MLB,False
"Brown, Trevor",507500,GOOD,Salary was parsed,2016,MLB,False
"Broxton, Jonathan",3750000,GOOD,Salary was parsed,2016,MLB,False
"Broxton, Keon",507500,GOOD,Salary was parsed,2016,MLB,False
